nome_uf_norm,nome_municipio_norm,codigo_municipio_completo
RONDÔNIA,ALTA FLORESTA D'OESTE,1100015
RONDÔNIA,ALTO ALEGRE DOS PARECIS,1100379
RONDÔNIA,ALTO PARAÍSO,1100403
RONDÔNIA,ALVORADA D'OESTE,1100346
RONDÔNIA,ARIQUEMES,1100023
RONDÔNIA,BURITIS,1100452
RONDÔNIA,CABIXI,1100031
RONDÔNIA,CACAULÂNDIA,1100601
RONDÔNIA,CACOAL,1100049
RONDÔNIA,CAMPO NOVO DE RONDÔNIA,1100700
RONDÔNIA,CANDEIAS DO JAMARI,1100809
RONDÔNIA,CASTANHEIRAS,1100908
RONDÔNIA,CEREJEIRAS,1100056
RONDÔNIA,CHUPINGUAIA,1100924
RONDÔNIA,COLORADO DO OESTE,1100064
RONDÔNIA,CORUMBIARA,1100072
RONDÔNIA,COSTA MARQUES,1100080
RONDÔNIA,CUJUBIM,1100940
RONDÔNIA,ESPIGÃO D'OESTE,1100098
RONDÔNIA,GOVERNADOR JORGE TEIXEIRA,1101005
RONDÔNIA,GUAJARÁ-MIRIM,1100106
RONDÔNIA,ITAPUÃ DO OESTE,1101104
RONDÔNIA,JARU,1100114
RONDÔNIA,JI-PARANÁ,1100122
RONDÔNIA,MACHADINHO D'OESTE,1100130
RONDÔNIA,MINISTRO ANDREAZZA,1101203
RONDÔNIA,MIRANTE DA SERRA,1101302
RONDÔNIA,MONTE NEGRO,1101401
RONDÔNIA,NOVA BRASILÂNDIA D'OESTE,1100148
RONDÔNIA,NOVA MAMORÉ,1100338
RONDÔNIA,NOVA UNIÃO,1101435
RONDÔNIA,NOVO HORIZONTE DO OESTE,1100502
RONDÔNIA,OURO PRETO DO OESTE,1100155
RONDÔNIA,PARECIS,1101450
RONDÔNIA,PIMENTA BUENO,1100189
RONDÔNIA,PIMENTEIRAS DO OESTE,1101468
RONDÔNIA,PORTO VELHO,1100205
RONDÔNIA,PRESIDENTE MÉDICI,1100254
RONDÔNIA,PRIMAVERA DE RONDÔNIA,1101476
RONDÔNIA,RIO CRESPO,1100262
RONDÔNIA,ROLIM DE MOURA,1100288
RONDÔNIA,SANTA LUZIA D'OESTE,1100296
RONDÔNIA,SÃO FELIPE D'OESTE,1101484
RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,1101492
RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,1100320
RONDÔNIA,SERINGUEIRAS,1101500
RONDÔNIA,TEIXEIRÓPOLIS,1101559
RONDÔNIA,THEOBROMA,1101609
RONDÔNIA,URUPÁ,1101708
RONDÔNIA,VALE DO ANARI,1101757
RONDÔNIA,VALE DO PARAÍSO,1101807
RONDÔNIA,VILHENA,1100304
ACRE,ACRELÂNDIA,1200013
ACRE,ASSIS BRASIL,1200054
ACRE,BRASILÉIA,1200104
ACRE,BUJARI,1200138
ACRE,CAPIXABA,1200179
ACRE,CRUZEIRO DO SUL,1200203
ACRE,EPITACIOLÂNDIA,1200252
ACRE,FEIJÓ,1200302
ACRE,JORDÃO,1200328
ACRE,MÂNCIO LIMA,1200336
ACRE,MANOEL URBANO,1200344
ACRE,MARECHAL THAUMATURGO,1200351
ACRE,PLÁCIDO DE CASTRO,1200385
ACRE,PORTO ACRE,1200807
ACRE,PORTO WALTER,1200393
ACRE,RIO BRANCO,1200401
ACRE,RODRIGUES ALVES,1200427
ACRE,SANTA ROSA DO PURUS,1200435
